,state,incidentid,abbrev,democrat,republican
0,Illinois,181,IL,2040903.1399999994,1605249.4100000004
1,Texas,121,TX,21224050.609999996,6163373.11
2,California,110,CA,10674210.420000002,8769292.520000005
3,New York,88,NY,4523099.719999999,2328422.1900000013
4,Pennsylvania,83,PA,184897624.95000002,93823087.75000003
5,Florida,80,FL,228997619.2600003,120591776.11000009
6,Louisiana,76,LA,261760.79999999993,733539.4899999998
7,Ohio,64,OH,18150335.900000006,13272377.839999998
8,Michigan,58,MI,124906467.44000003,40808675.08999999
9,South Carolina,55,SC,498886.0100000002,1042076.4899999995
10,North Carolina,52,NC,75125832.3399997,92185547.0
11,Georgia,51,GA,21697709.610000107,40336841.40000001
12,Maryland,48,MD,1410241.06,613552.3700000001
13,Missouri,45,MO,766423.7499999998,1194719.1699999995
14,Tennessee,42,TN,808257.1799999998,1580080.7300000004
15,Alabama,41,AL,384752.86000000016,1336842.71
16,Virginia,37,VA,3681719.9899999993,1407724.8500000006
17,Mississippi,36,MS,132094.03,554348.9900000002
18,New Jersey,32,NJ,1383458.499999999,970657.8
19,Colorado,32,CO,4200254.66,1118881.2999999998
20,Indiana,29,IN,676240.4999999998,1076926.0399999993
21,District of Columbia,28,DC,7453543.78,2962741.6899999995
22,Wisconsin,28,WI,89215324.58,53073737.479999974
23,Minnesota,22,MN,26628674.74,12117679.719999999
24,Arkansas,22,AR,336874.18999999994,598115.2699999999
25,Kentucky,19,KY,393874.35999999987,752851.6100000002
26,Arizona,18,AZ,90790254.49000002,61447902.91
27,Washington,17,WA,2471518.8499999996,1725790.6300000004
28,Oregon,13,OR,1271830.9500000004,699824.0100000002
29,Massachusetts,13,MA,1654253.2999999998,871490.3399999999
30,Nevada,13,NV,28383341.760000005,8082412.249999999
31,Iowa,11,IA,10416407.27,20919740.049999982
32,Connecticut,11,CT,588089.1800000002,388528.3500000001
33,Delaware,10,DE,213554.47999999995,118575.44999999998
34,Oklahoma,6,OK,364510.80000000016,1082462.2499999998
35,Nebraska,5,NE,5333865.779999999,2027806.9499999993
36,New Mexico,5,NM,272453.1099999999,628893.1199999998
37,Kansas,5,KS,353422.86999999976,594824.3999999999
38,West Virginia,4,WV,135747.57,363567.00000000006
39,Alaska,4,AK,96998.15,216968.83999999997
40,South Dakota,2,SD,331444.7,114501.30000000002
41,Utah,2,UT,538560.8300000001,502985.29000000004
42,Rhode Island,2,RI,173265.96999999997,76722.23999999998
43,Idaho,2,ID,169490.95000000004,366301.5100000002
44,New Hampshire,1,NH,4962659.549999999,381781.79
45,Maine,1,ME,2061234.7100000002,2862870.340000001
