,state,total_involved,abbrev,democrat,republican,party
0,Alabama,195,AL,384752.86000000016,1336842.71,r
1,Alaska,18,AK,96998.15,216968.84,r
2,Arizona,106,AZ,90790254.49000002,61447902.91,b
3,Arkansas,127,AR,336874.18999999994,598115.2699999999,r
4,California,557,CA,10674210.420000002,8769292.520000005,b
5,Colorado,168,CO,4200254.66,1118881.2999999998,b
6,Connecticut,50,CT,588089.1800000002,388528.3500000001,b
7,Delaware,43,DE,213554.47999999995,118575.44999999998,b
8,District of Columbia,156,DC,7453543.78,2962741.6899999995,b
9,Florida,413,FL,228997619.2600003,120591776.11000007,r
10,Georgia,267,GA,21697709.610000107,40336841.40000001,b
11,Idaho,11,ID,169490.95000000004,366301.5100000002,r
12,Illinois,948,IL,2040903.1399999997,1605249.4100000004,b
13,Indiana,155,IN,676240.4999999998,1076926.039999999,r
14,Iowa,60,IA,10416407.27,20919740.049999986,r
15,Kansas,23,KS,353422.86999999976,594824.3999999999,r
16,Kentucky,95,KY,393874.3599999999,752851.6100000002,r
17,Louisiana,389,LA,261760.79999999996,733539.4899999998,r
18,Maine,4,ME,2061234.71,2862870.340000001,b
19,Maryland,224,MD,1410241.06,613552.3700000001,b
20,Massachusetts,61,MA,1654253.2999999998,871490.3399999999,b
21,Michigan,270,MI,124906467.44000004,40808675.08999999,b
22,Minnesota,126,MN,26628674.74,12117679.72,b
23,Mississippi,187,MS,132094.03,554348.9900000002,r
24,Missouri,235,MO,766423.7499999998,1194719.1699999997,r
25,Nebraska,25,NE,5333865.779999999,2027806.9499999995,r
26,Nevada,81,NV,28383341.760000005,8082412.249999999,b
27,New Hampshire,4,NH,4962659.549999999,381781.79,b
28,New Jersey,166,NJ,1383458.499999999,970657.8,b
29,New Mexico,21,NM,272453.1099999999,628893.1199999998,b
30,New York,442,NY,4523099.719999999,2328422.1900000013,b
31,North Carolina,254,NC,75125832.3399997,92185547.0,r
32,Ohio,333,OH,18150335.90000001,13272377.839999998,r
33,Oklahoma,32,OK,364510.80000000016,1082462.2499999998,r
34,Oregon,66,OR,1271830.9500000004,699824.0100000002,b
35,Pennsylvania,402,PA,184897624.95,93823087.75000004,b
36,Rhode Island,13,RI,173265.96999999997,76722.23999999998,b
37,South Carolina,310,SC,498886.0100000002,1042076.4899999996,r
38,South Dakota,9,SD,331444.7,114501.30000000002,r
39,Tennessee,222,TN,808257.1799999998,1580080.7300000004,r
40,Texas,661,TX,21224050.61,6163373.11,r
41,Utah,10,UT,538560.8300000001,502985.29,r
42,Virginia,178,VA,3681719.9899999993,1407724.8500000006,b
43,Washington,84,WA,2471518.85,1725790.6300000004,b
44,West Virginia,21,WV,135747.57,363567.00000000006,r
45,Wisconsin,154,WI,89215324.58,53073737.47999997,b
